OBJECTID,GNISID,NAME,CLASS,STATE,FIPSST,COUNTYNAME,FIPSCO,LATITUDE,LONGITUDE,ELEV_METER,ELEV_FEET,TOPOMAP,DATE_CREAT,DATE_EDITE
"111261",1273506.00000000000,Wa-Ni Village,Populated Place,TN,"47",Grainger,"057",36.22286670000,-83.45434290000,"329","1079",Talbott,05/19/1980,
"111092",1282335.00000000000,Denmark,Populated Place,TN,"47",Madison,"113",35.53285450000,-89.00395200000,"138","453",Denmark,05/19/1980,
"184345",2515290.00000000000,Paradise Mobile Home Park,Populated Place,TN,"47",Hamilton,"065",35.05500000000,-85.04027780000,"246","807",Ooltewah,12/19/2008,
"147729",1644521.00000000000,Powder Branch,Populated Place,TN,"47",Carter,"019",36.27510810000,-82.25819010000,"598","1962",Johnson City,08/01/1989,
"116671",1328364.00000000000,Hale,Populated Place,TN,"47",Washington,"179",36.31899410000,-82.46681180000,"535","1755",Jonesborough,05/19/1980,
"117092",1303366.00000000000,Samuel (historical),Populated Place,TN,"47",Sullivan,"163",36.49288040000,-82.45125640000,"468","1535",Boone Dam,08/01/1991,
"111682",1275037.00000000000,Woodfield Park,Populated Place,TN,"47",Knox,"093",35.90564040000,-83.83129000000,"282","925",Shooks Gap,05/19/1980,
"115171",1296177.00000000000,Oakland,Populated Place,TN,"47",Knox,"093",36.03174900000,-83.91074060000,"309","1014",Fountain City,05/19/1980,
"113674",1292483.00000000000,Madison,Populated Place,TN,"47",Davidson,"037",36.25616460000,-86.71388610000,"147","482",Goodlettsville,05/19/1980,
"124494",1315546.00000000000,Mount Denson,Populated Place,TN,"47",Robertson,"147",36.54310020000,-86.88888720000,"220","722",Springfield North,05/19/1980,03/20/2020
"125991",1315808.00000000000,Riley,Populated Place,TN,"47",Claiborne,"025",36.54119650000,-83.43184940000,"371","1217",Coleman Gap,05/19/1980,
"114679",1299762.00000000000,Rock Haven,Populated Place,TN,"47",Grainger,"057",36.34147750000,-83.38712120000,"332","1089",Avondale,05/19/1980,
"113697",1292767.00000000000,Marshall Heights,Populated Place,TN,"47",Marshall,"117",35.44618490000,-86.80138900000,"250","820",Lewisburg,05/19/1980,
"118517",1314719.00000000000,Bottle Hollow,Populated Place,TN,"47",Bedford,"003",35.40702070000,-86.36221490000,"259","850",Normandy,05/19/1980,
"115812",1314353.00000000000,Sugar Hill,Populated Place,TN,"47",Perry,"135",35.55173790000,-87.82058120000,"174","571",Linden,05/19/1980,
"147706",1643644.00000000000,Sunny Slope,Populated Place,TN,"47",Cannon,"015",35.79451260000,-86.09860150000,"218","715",Woodbury,06/01/1989,
"118394",1309666.00000000000,Islandford (historical),Populated Place,TN,"47",Morgan,"129",36.13062960000,-84.72161100000,"388","1273",Pilot Mountain,06/01/1989,
"115689",1302883.00000000000,Highland Estates,Populated Place,TN,"47",Cumberland,"035",35.92784440000,-85.17857540000,"534","1752",Pleasant Hill,08/01/1991,
"193199",2778806.00000000000,Red Tail Mountain,Populated Place,TN,"47",Johnson,"091",36.42483400000,-81.78773900000,"759","2490",Mountain City,04/08/2016,03/28/2018
"116402",1308005.00000000000,Oakhurst,Populated Place,TN,"47",Blount,"009",35.76286110000,-83.95406990000,"290","951",Maryville,05/01/1989,
"148321",1646895.00000000000,Barnetts,Populated Place,TN,"47",Sullivan,"163",36.45260610000,-82.21096590000,"453","1486",Keenburg,08/01/1991,
"125058",1315667.00000000000,Pactolus,Populated Place,TN,"47",Sullivan,"163",36.49899080000,-82.52153800000,"408","1339",Sullivan Gardens,05/19/1980,
"112443",1285588.00000000000,Golddust,Populated Place,TN,"47",Lauderdale,"097",35.72535550000,-89.85869510000,"76","249",Golddust,05/19/1980,
"115148",1296053.00000000000,Oak Grove,Populated Place,TN,"47",Hamilton,"065",35.02063010000,-85.28162350000,"200","656",Chattanooga,05/19/1980,
"116353",1327372.00000000000,White Rock,Populated Place,TN,"47",Carter,"019",36.22067120000,-82.13318180000,"724","2375",Iron Mountain Gap,05/19/1980,
"121812",1315250.00000000000,Holly Creek,Populated Place,TN,"47",Wayne,"181",35.08647070000,-87.60252370000,"203","666",Saint Joseph,05/19/1980,
"114656",1294850.00000000000,Mount Vinson,Populated Place,TN,"47",McNairy,"109",35.19063790000,-88.39448600000,"140","459",Stantonville,05/19/1980,
"115197",1296442.00000000000,Ooltewah,Populated Place,TN,"47",Hamilton,"065",35.07507400000,-85.06217280000,"232","761",Ooltewah,05/19/1980,03/20/2008
"119107",1314773.00000000000,Burger,Populated Place,TN,"47",McMinn,"107",35.39896350000,-84.44409360000,"277","909",Englewood,05/19/1980,
"113033",1277478.00000000000,Binfield,Populated Place,TN,"47",Blount,"009",35.70508110000,-84.07435300000,"289","948",Binfield,05/19/1980,
"112492",1290278.00000000000,Kinzel Springs,Populated Place,TN,"47",Blount,"009",35.68703130000,-83.79628540000,"307","1007",Kinzel Springs,05/19/1980,
"123263",1311636.00000000000,Fernwood Heights,Populated Place,TN,"47",Hamblen,"063",36.16231510000,-83.29961290000,"412","1352",Morristown,10/01/1989,
"115320",1314135.00000000000,Kimberlin Heights,Populated Place,TN,"47",Knox,"093",35.93064180000,-83.75128730000,"282","925",Shooks Gap,05/19/1980,
"112566",1276230.00000000000,Ball Camp,Populated Place,TN,"47",Knox,"093",35.95285770000,-84.12185910000,"293","961",Bearden,05/19/1980,
"121271",1315181.00000000000,Halltown,Populated Place,TN,"47",Trousdale,"169",36.42727140000,-86.13498750000,"183","600",Hartsville,05/19/1980,
"111951",1288726.00000000000,Hunter,Populated Place,TN,"47",Campbell,"013",36.36230140000,-84.14048110000,"336","1102",Jacksboro,05/19/1980,
"124517",1315571.00000000000,Mudville,Populated Place,TN,"47",Shelby,"157",35.37758470000,-89.73841490000,"119","390",Brighton,05/19/1980,
"114799",1305513.00000000000,Bufords,Populated Place,TN,"47",Giles,"055",35.33202190000,-87.02556250000,"225","738",Milky Way,05/19/1980,
"111633",1274255.00000000000,Westside Heights,Populated Place,TN,"47",Coffee,"031",35.34980160000,-86.22554570000,"323","1060",Tullahoma,05/19/1980,
"120538",1315062.00000000000,Flat Top,Populated Place,TN,"47",Hamilton,"065",35.35756790000,-85.22468190000,"585","1919",Soddy,05/19/1980,
"121048",1315135.00000000000,Gordonsburg,Populated Place,TN,"47",Lewis,"101",35.56979580000,-87.42390380000,"186","610",Gordonsburg,05/19/1980,
"148676",1647261.00000000000,Midway,Populated Place,TN,"47",Cannon,"015",35.65840550000,-86.06526700000,"346","1135",Hollow Springs,06/01/1989,
"118131",1304350.00000000000,Walnut Grove,Populated Place,TN,"47",Bedford,"003",35.68173450000,-86.54277130000,"238","781",Rover,05/19/1980,
"116708",1328854.00000000000,McAllister Hill,Populated Place,TN,"47",Polk,"139",35.02813540000,-84.34603310000,"526","1726",Isabella,05/19/1980,
"119376",1314823.00000000000,Cheeks Crossroads,Populated Place,TN,"47",Hamblen,"063",36.25037180000,-83.21239020000,"398","1306",Russellville,05/19/1980,
"110720",1280200.00000000000,Chalk Level,Populated Place,TN,"47",Hawkins,"073",36.35787380000,-82.99488510000,"371","1217",McCloud,05/19/1980,
"116471",1303253.00000000000,Earheart (historical),Populated Place,TN,"47",Sullivan,"163",36.52038110000,-82.25541310000,"445","1460",Blountville,08/01/1991,
"116459",1303215.00000000000,Beechwood Village,Populated Place,TN,"47",Sullivan,"163",36.52093490000,-82.52598300000,"393","1289",Kingsport,08/01/1991,
"121961",1311460.00000000000,Bethel,Populated Place,TN,"47",Montgomery,"125",36.62949190000,-87.43389880000,"157","515",Oak Grove,11/01/1989,
"115048",1300456.00000000000,Saint Joseph,Populated Place,TN,"47",Lawrence,"099",35.03619310000,-87.50668960000,"242","794",Saint Joseph,05/19/1980,05/12/2008
"121285",1315201.00000000000,Harwell,Populated Place,TN,"47",Giles,"055",35.11813700000,-87.00584070000,"194","636",Aspen Hill,05/19/1980,
"118878",1310045.00000000000,Ketchall (historical),Populated Place,TN,"47",Marion,"115",35.05480230000,-85.71247090000,"189","620",South Pittsburg,07/01/1989,
"116720",1329019.00000000000,North Etowah,Populated Place,TN,"47",McMinn,"107",35.34201770000,-84.52909760000,"271","889",Etowah,05/19/1980,
"118380",1309536.00000000000,Griffitts (historical),Populated Place,TN,"47",Loudon,"105",35.68202240000,-84.23047210000,"263","863",Meadow,06/01/1989,
"119127",1314799.00000000000,Caton,Populated Place,TN,"47",Sevier,"155",35.80037030000,-83.45071810000,"335","1099",Richardson Cove,05/19/1980,
"116222",1326845.00000000000,Ottinger,Populated Place,TN,"47",Cocke,"029",36.05648810000,-83.04515500000,"368","1207",Parrottsville,05/19/1980,
"115961",1314374.00000000000,Tampico,Populated Place,TN,"47",Grainger,"057",36.19647560000,-83.56184540000,"286","938",Joppa,05/19/1980,
"124878",1311961.00000000000,Scottish Highlands,Populated Place,TN,"47",Sumner,"165",36.32366150000,-86.58499520000,"166","545",Hendersonville,12/01/1989,
"124866",1311946.00000000000,Oakvale,Populated Place,TN,"47",Sumner,"165",36.31255100000,-86.61555130000,"146","479",Hendersonville,11/01/1989,
"122210",1311489.00000000000,Dunbar Cave,Populated Place,TN,"47",Montgomery,"125",36.54754770000,-87.29111790000,"128","420",Clarksville,11/01/1989,
"114550",1299387.00000000000,Riddleton,Populated Place,TN,"47",Smith,"159",36.32144170000,-86.01804310000,"160","525",Dixon Springs,05/19/1980,
"120289",1310849.00000000000,Avoton (historical),Populated Place,TN,"47",Putnam,"141",36.28256000000,-85.48441810000,"295","968",Windle,09/01/1989,
